first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,player_id
Samir,Nasri,0,2,14,243,2,86.6,49.8,28,0,61,16.4,1,0,0,0.2,49,569
Ben,Johnson,0,0,2,62,1,0.4,7.8,0,0,6,0.8,0,0,0,0,40,605
Nathan,Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,40,611
John,Ruddy,0,0,7,90,0,0,26.6,0,0,25,2.7,1,0,0,0.2,42,421
Will,Norris,0,0,1,1,0,0,0,0,0,3,0,0,0,0,2.3,39,422
Willy,Boly,4,0,120,3168,43,146.9,954.2,279,10,635,137.7,8,1,2,6.1,47,423
Barry,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,424
Matt,Doherty,4,7,144,3141,41,547.4,758.8,711,12,596,201.6,8,0,5,21.9,53,425
Romain,Saïss,2,0,47,1142,17,70.9,363.6,129,5,248,56.2,3,0,7,0.4,42,426
Ryan,Bennett,1,0,89,3060,38,129.7,566.4,172,1,467,86.9,9,0,12,8,41,427
Danny,Batth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,40,428
Roderick Jefferson,Gonçalves Miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,429
Conor,Coady,0,0,94,3420,46,26.2,593.2,0,6,585,61.8,9,0,5,0.9,45,430
Rúben Gonçalo,Silva Nascimento Vinagre,0,0,24,703,9,113.7,117,69,0,118,30,1,0,1,0.1,43,431
Diogo,Jota,9,8,139,2352,29,402.5,559.6,888,13,386,185,10,0,11,8.5,63,432
Rúben Diogo,da Silva Neves,4,3,104,3006,43,365.9,698.2,402,7,483,146.8,8,0,8,10.4,49,433
Ivan,Cavaleiro,3,1,48,677,11,313.6,198,156,3,156,66,1,0,1,0.1,52,434
Hélder,Costa,1,2,52,1333,19,264,162.8,280,0,136,70.9,5,0,3,0.4,46,435
Bright,Enobakhare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,436
Raúl,Jiménez,13,10,181,3112,40,648.5,788.8,1428,31,602,285.4,12,0,4,33.4,69,437
Bonatini Lohner Maia,Bonatini,0,1,10,130,0,30.9,24.6,90,0,19,13.6,0,0,0,0.3,46,438
Morgan,Gibbs-White,0,1,37,645,12,181.1,73.2,72,0,113,32.5,4,0,1,0.5,43,448
Rafa,Mir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,449
Rui Pedro,dos Santos Patrício,0,0,118,3330,46,0,695,0,4,581,69.1,8,0,0,8,45,454
João Filipe Iria,Santos Moutinho,1,8,119,3030,39,1245.8,812.6,102,13,628,216.4,9,0,4,5.1,51,475
Jonathan,Castro Otto,1,3,103,2772,39,447.3,523.4,361,9,488,133.3,8,0,6,3.6,43,483
Adama,Traoré,1,1,44,884,13,271.3,223.4,265,2,182,75.8,1,0,1,0.3,51,500
Leander,Dendoncker,2,0,48,1465,21,126.6,334.8,288,1,209,75.1,3,0,1,0.6,43,519
Kortney,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,525
Ryan John,Giles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,555
Max,Kilman,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,40,567
Cameron,John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,596
